dimension_id,Measure title,Current dimension title,New dimension title
5d66f12334474fd076aa17715ba97b9a3534b5a1,Absence from school,Overall absence by ethnicity,
cf3254185c591a72cd5441febf7298dbf85cf69d,Absence from school,Persistent absence by ethnicity,
a4cd609f79db88ce0f68929a4af5091488e7b0b2,Absence from school,Overall absence by ethnicity and type of school,
2e31ebe9bc947c62206f1522e307327bf1df4cc6,Absence from school,Persistent absence by ethnicity and type of school,
bd08b82908b2cc3adc8c336ca787bdf0c0f53c83,Absence from school,Overall absence by ethnicity and local authority,
d585751d7dd36fa423d10869b309548dd1674e75,Absence from school,Persistent absence by ethnicity and local authority,
9645107818bbf1859e9728d13715d48fd6e48827,Absence of tooth decay in 5 year olds,Absence of tooth decay in 5 year olds,By ethnicity
85fd2ff16ab239a5fb23a97af95e3d649abc23fc,Access to NHS dental services,Access to NHS dental services,By ethnicity over time
5f62398140a5aaabae99a91a158557cee418491d,Adult smokers,Adult smokers by ethnicity,By ethnicity
3e38473d3dcc635c5cace6fcdeb98d2d260bbf22,Adult smokers,Adult smokers by ethnicity over time,By ethnicity over time
2dfcd4780ab3b9fb54fcc1c6d3a09f55fe9099e2,Adults experiencing a psychotic disorder,Psychotic disorder in adults by ethnicity and sex,By ethnicity and sex
8fbb2c39b7535d5ee5710c3781f77b392b2e2ad8,Adults experiencing common mental disorders,Percentage of people with a common mental disorder by sex and ethnicity,By ethnicity and sex
a3f150676def061e3fda3bf679f011304db0e2ab,Adults receiving treatment for mental or emotional problems,Adults receiving treatment for mental or emotional problems by ethnicity,By ethnicity
c2b879ae69b9d3a2eae2b58558be8f40e3b35f99,"Adults reporting suicidal thoughts, attempts and self harm",Suicidal thoughts or attempts and self-harm in adults,By ethnicity
814fd955f21bf705182a11f628b721aa0899d6a8,Adults screening positive for bipolar disorder,Adults screening positive for bipolar disorder by ethnicity and sex,By ethnicity and sex
57725c4605b92ded508a5eff799a8c4e178dfdca,Adults using NHS-funded mental health and learning disability services,Rates of adults using NHS-funded secondary mental health and learning disability services,By ethnicity
2b0a3376b70b8b3f54f80776445d3f8402670f9d,Adults with post-traumatic stress disorder (PTSD) in the month prior to survey,Percentage of adults screening positive for PTSD in the month prior to the survey by ethnicity and sex,By ethnicity and sex
dae5e7a809d0cff1fcae776d6f57056ed8bdcd13,Age groups,Average age by ethnicity,
528cecc95b709b27b035a16f1e16484631a2629a,Age groups,Age profile by ethnicity,
1e93aa4eab98b2389906c8e7a25783ee7bd9104f,Age groups,Asian ethnic groups: age profile,
9ac4034ea4b19482231dba8b3e1907f73cae5433,Age groups,Black ethnic groups: age profile,
bb6ed412b20a126f98026c24211edc244cb7f702,Age groups,Mixed ethnic groups: age profile,
b3545eb3fb50ca91c19216c6056e3174dd79b4ab,Age groups,White ethnic groups: age profile,
983d873664b61948d43ad56d2624131c683dd28d,Age groups,Other ethnic groups: age profile,
e970cdf6a3c441482d7fffba603d2ec594986c8c,Age of first-time buyers,Average age of first-time buyers by ethnicity,By ethnicity
3fc3cf5e33a032cbaa36bad1e8aa738b199ddbc6,Apprenticeship starts,Percentage of apprenticeship starts by ethnicity over time,By ethnicity over time
25c3c5480ece976e0ad14b62beadbd8bbe05fd09,Apprenticeship starts,"Percentage of apprenticeship starts, compared with the overall population, by ethnicity",By ethnicity compared with the overall population
4eaff371665f041fef81bb06a7318c25f8b899a9,Armed forces workforce,"Armed forces personnel by ethnicity, service and rank","By ethnicity, service and rank"
124a8559c6d4de0f8b6904ca1ed4b9cf3dd68134,Armed forces workforce,Armed forces personnel in officer ranks by ethnicity and service over time,By ethnicity and service over time (officers only)
0ad1dbcd4376d0b6f4c0e8050e76e44d6d83313c,Armed forces workforce,Armed forces personnel in non-officer ranks by ethnicity and service over time,By ethnicity and service over time (non-officer ranks only)
b46fecdb895e91908af50fc3a2cb9ecedb1e853e,Armed forces workforce,All armed forces personnel by ethnicity and rank,By ethnicity and rank
8cebfb50b4045b657fae00133eb1f654c958ca31,Arrests,Arrests by ethnicity,By ethnicity
9d2e05df27591bb29034bdbcc8c32fc197aae649,Arrests,Arrests by ethnicity over time,By ethnicity over time
b6887964dc6361a6a98e6992068ef8758c609a25,Arrests,Arrests by ethnicity and area,By ethnicity and area
a34bd546436e01ed59cf5227e29ac54ea686bf82,Arrests,Arrests by ethnicity and gender,By ethnicity and gender
b83e2366a501b836e999609917e2bf4b780462eb,Assaults carried out by young people in custody,Assaults carried out by young people in custody by ethnicity,By ethnicity
d23a60f8fa7e57ece57b7e9407737f051793ee06,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity,By ethnicity
a49d5bd9d257c33868a96cf9eb0cb0f3fcd2d9d7,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and eligibility for free school meals (FSM),By ethnicity and eligibility for free school meals
55e5f81dac1f5f8ac922bb433bf80bd84e389f9b,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and area,By ethnicity and area
ef8d5b7e755efc097b344e4db94d70e6b6b21ee6,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and gender,By ethnicity and gender
8c57a1f48ff87d1dbfcdc6641c32abbcf207b70c,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, gender and eligibility for free school meals (FSM)","By ethnicity, gender and eligibility for free school meals"
d4b147df893074df09a19e69ab7e08f905a81dcd,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, gender and area","By ethnicity, gender and area"
48255966c5a4bf9dc689491b732934958017ac9a,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, gender and basis for school admission","By ethnicity, gender and type of selection"
e3c13557b5c08e28edad52d646eac5213a2528d0,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and school type,By ethnicity and type of school
fd9d0b06f1a40d796cff07d7bc307825dbdcdc42,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, special education needs (SEN) and gender","By ethnicity, special education needs and gender"
b24b22599e0188a5d4b97cfbb18bba74e9e0307a,Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4),"Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity, religion of school and gender","By ethnicity, religion of school and gender"
59a68fefffe311de696134d996e41fe5f48e1ccb,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity,By ethnicity
ff2d587d31169f4fbaf31559b2e929bd1e15201d,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity and eligibility for free school meals (FSM),By ethnicity and eligibility for free school meals
0e24b9799255c0960e84035970679a8c4288b168,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity and area,By ethnicity and area
a47a98dc1b69abe337dab4fdd1ff3a9eb23a06ed,Attainment of development goals by children aged 4 to 5 years,Attainment of development goals by ethnicity and gender,By ethnicity and gender
61710d77f2c820786840e9cf201ea756856baa8e,Attainment of development goals by children aged 4 to 5 years,"Attainment of development goals by ethnicity, gender and eligibility for free school meals (FSM)","By ethnicity, gender and eligibility for free school meals"
4ec9ba1b0a11b5cb35c0d48657498b88ded593f9,Attainment of development goals by children aged 4 to 5 years,"Attainment of development goals by ethnicity, gender and area","By ethnicity, gender and area"
e16f5de5e2008deb4526c2c5eba26f1c102f6e5f,Average hourly pay,Average hourly pay by ethnicity,By ethnicity
7aff8fdb0c7a073374ae5eef535bd9d90835a51d,Average length of custodial sentences,Average custodial sentence length by ethnicity of offender over time,By ethnicity of offender over time
158cf92364cb461403cb1ce1419cb66d4bef7b42,Average length of custodial sentences,Average custodial sentence length by ethnicity and sex of offender,By ethnicity and sex of offender
b932bc9b1b9233a06afa87ff480db92eb56b8cba,Average length of custodial sentences,Average custodial sentence length by ethnicity and age group of offender,By ethnicity and age group of offender
9485566a6eed0bdf674db7ccdf56651ca75e53ce,Average length of custodial sentences,Average custodial sentence length by ethnicity of offender and type of offence,By ethnicity of offender and type of offence
6e6712adb5d74efc9312a95c21fabc340f10c4ec,Cancer diagnosis at an early stage,Cancer diagnosis at an early stage by ethnicity,By ethnicity
4c72da3ad8f9f4f5255102e5c307f13e6ad14aad,Car or van ownership,Car or van access by ethnicity,By ethnicity
6e304f6a33ff22571a7f1f32d6f1af3cb0f6042d,Chatting regularly with neighbours,People who chat regularly to their neighbours by ethnicity,By ethnicity
f5af1ac3e2b2e42382dabecd964a1400bfe2c184,Cigarette smoking among 15 year olds,Cigarette smoking among 15 year olds by ethnicity,By ethnicity
e978dc4c4baf3fd75dd507be5ee601b2e2f702c7,Civil Service pay,Civil servants' average annual pay by ethnicity,By ethnicity
89f05447d56a274ab4aa96cb8ddd47e5da8ec363,Civil Service pay,Civil servants' average annual pay by ethnicity and grade,By ethnicity and grade
265645d8fdc400404399bbab39ea3bd0de33bb2b,Civil Service pay,Civil servants' average annual pay by ethnicity and area,By ethnicity and area
38987adbd6ea5cb29f53e7cea095662ad9ecc3ef,Civil Service workforce,Civil Service workforce by ethnicity,By ethnicity
ecc7c96f1b4e877ee63c267a8d40bffe07185d31,Civil Service workforce,Civil service workforce by ethnicity over time,By ethnicity over time
78c38a17f945a28f8d28c8832de47227b50c5263,Civil Service workforce,Civil Service workforce by ethnicity and grade,By ethnicity and grade
ac7f9157c6dff2d86368532233198022ca64c5c5,Civil Service workforce,Civil Service workforce by ethnicity and area,By ethnicity and area
ea8f7a1c0c9d2912b535e365aa4ca5ae8e4fdbc6,Civil Service workforce,Civil Service workforce by ethnicity and gender,By ethnicity and gender
3b75fcde5765cf7d1ff1a4a916c7010a5651970b,Civil Service workforce,Civil Service workforce by ethnicity and age group,By ethnicity and age group
b600a9d433a8c70faf7f05b523acde3affb4e682,Confidence in the local police,Confidence in the local police by ethnicity over time,By ethnicity over time
fbe39a95676f5a98c98c58c3d549b98761294d39,Confidence in the local police,Confidence in the local police by ethnicity and gender,By ethnicity and gender
e3f5fbf8697c5e63e83743e9528f00cf2a03a077,Confidence in the local police,Confidence in the local police by ethnicity and age,By ethnicity and age
2de99839b290a5959d9c34746b5ce73d06567c8b,Confidence in the local police,Confidence in the local police by ethnicity and socio-economic group,By ethnicity and socio-economic group
4f3343071a4c5cd654d09ae526aaa2c4cf83e781,Customer satisfaction with Department for Work and Pensions services,Customer satisfaction with department for work and pensions services by ethnicity 2017/18,By ethnicity
2c5f1097981250405105c8a09e39d725e9756bee,Deposits paid by first-time buyers,Deposits paid by first-time buyers by ethnicity,By ethnicity
c30bd3e0cc5f7c6215154baba58db1b8ba063610,Deposits paid by first-time buyers,Deposits paid by first-time buyers by ethnicity and socio-economic group,By ethnicity and socio-economic group
c07770f159f27d85f2d0b9ba8bab37d9c83c61c7,Destinations and earnings of graduates after higher education,Graduate destinations by ethnicity,
b58881669bd1c58c2d212449d1439aa59e199a12,Destinations and earnings of graduates after higher education,Graduate destinations (further study or employment only) by ethnicity,
f2061b54f28dd6b3bddf2e4d3327c2a72ee84f11,Destinations and earnings of graduates after higher education,Average earnings of graduates by ethnicity,
389fa92c879127187ddf80891f73f0d3b76ad773,Destinations of school pupils after key stage 4 (usually aged 16 years),"Pupils going into sustained education, employment or training by ethnicity",By ethnicity
d698b18a17d66e1eb58257d4a7d4683f63442b36,Destinations of school pupils after key stage 4 (usually aged 16 years),"Pupils going into sustained education, employment or training by ethnicity over time",By ethnicity over time
6c47771cbfb9f8572618a64becfa1a1b0c5b6ce0,Destinations of students after key stage 5 (usually aged 18 years),Students going into sustained education or employment by ethnicity,By ethnicity
6633538f49819501015fac8843329056df7b7907,Detentions under the Mental Health Act,"Rates of detention (per 100,000) under the Mental Health Act 1983 by broad ethnic group",By ethnicity (5 ethnic groups)
bd1ba70b5f64973d4c48a836754ca4fe9a34eb48,Detentions under the Mental Health Act,"Rates of detention (per 100,000) under the Mental Health Act 1983 by specific ethnic group",By ethnicity (16 ethnic groups)
e7593557004db932854b61bdd6dfc0c70337b2c3,Driving licences,Driving licence holders by ethnicity,By ethnicity
42f386399a2043c1e3ff80c96bb28e19248ad287,Drug dependency in adults,Drug dependency in adults,By ethnicity and sex
a51d01021b1073295a2d7041fcf5288beb91bcfc,Economic inactivity,Economic inactivity by ethnicity,By ethnicity
470e13cf90a168a674e107d2a603b40606551ad4,Economic inactivity,Economic inactivity by ethnicity (White and Other ethnic groups),By ethnicity (2 ethnic groups)
cbe7b3b84182527e9ab8b809ffec2daece3f2c58,Economic inactivity,Economic inactivity by ethnicity over time,By ethnicity over time
8b240da307dd510634fdde52d7595ef7c5c85ee5,Economic inactivity,Economic inactivity by ethnicity and gender,By ethnicity and gender
a5e60ae1b5e560fb38030785fdbad40374735ff3,Economic inactivity,Economic inactivity by ethnicity and age group,By ethnicity and age group
258ba6e8ced22f7223f6e68fdb639fd8da1a76b3,Economic inactivity,Economic inactivity among 16 to 24 year olds over time,By ethnicity and age group over time (16 to 24 year olds only)
a8c978685d19bcc0b127ac3e8afae4c98bf8ce1d,Economic inactivity,Economic inactivity by ethnicity and area,By ethnicity and area
827e414426dd8d84a848790da2122517b5d889c5,Economic inactivity by qualification level,Economic inactivity by ethnicity and qualification level,By ethnicity and qualification level
18e09a15938edbcae495f734fe0084df4ee28c9c,Economic inactivity by qualification level,Economic inactivity among men by ethnicity and qualification level,By ethnicity and qualification level (men only)
b81e0b7d361df43e336aa6409b44585fd4df4154,Economic inactivity by qualification level,Economic inactivity among women by ethnicity and qualification level,By ethnicity and qualification level (women only)
d926693cd0eac5f5d29aad9c8f5177bb8244a256,Employment,Employment by ethnicity,By ethnicity
52904ae06042718374e9c2b25dd89b2212475543,Employment,Employment by ethnicity (White and Other ethnic groups),By ethnicity (2 ethnic groups)
77cfc40b0e71b690b2474d83f7e0db8aa63f982b,Employment,Employment by ethnicity over time,By ethnicity over time
c931d6d52a69121621a488c99a0de14a39aa3b15,Employment,Employment by ethnicity and gender,By ethnicity and gender
7376b9104b4981fe9d9b644e5691cf1e918d4928,Employment,Employment by ethnicity and age group,By ethnicity and age group
e185b9a52dff81926b49cefdad55d87c20f5535b,Employment,Employment among 16 to 24 year olds by ethnicity over time,By ethnicity and age group over time (16 to 24 year olds only)
812b9397dd4b7e2de56894590f9d09bf3559019f,Employment,Employment by ethnicity and area,By ethnicity and area
66f857ed6d76f240996d934edb3cc7a06e285e81,Employment and Support Allowance: sanctions,"Employment and Support Allowance claimants sanctioned, by ethnicity",By ethnicity
f85ad426f49a5bb728030761f326add9a34d00f6,Employment and Support Allowance: sanctions,"Employment and Support Allowance claimants sanctioned, by ethnicity over time",By ethnicity over time
7dfb845aabdf9e871f29531654c2dd0849130ef2,Employment and Support Allowance: sanctions,"Employment and Support Allowance claimants sanctioned, by ethnicity and age group",By ethnicity and age group
27e6b7624e3843a8112241ab3fc721b2907d89f6,Employment by occupation,Employment by type of occupation and ethnicity,By ethnicity and type of occupation
a2278835f0af9970ac118b2c63e5985f4dc93ef3,Employment by qualification level,Employment by qualification level and ethnicity,By ethnicity and qualification level
26a830878c47ad40d36dda6a972323e02d9affe0,Employment by qualification level,Employment among men by qualification level and ethnicity,By ethnicity and qualification level (men only)
df7a43213274b9090ce0c95bf5b0e31b5718cb01,Employment by qualification level,Employment among women by qualification level and ethnicity,By ethnicity and qualification level (women only)
c45bde82b6abbbb461f3b5655cfc28ddbff0324b,Employment by sector,Employment by sector and ethnicity,By ethnicity and sector
14dcc4ad9b97cc20192fbcd84a3708d9306959a6,Employment tribunal claims,Employment tribunal claims by ethnicity,By ethnicity
16f01533ad69fff0acd17733d6a9199a88d3bf5e,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),EBacc achievement by ethnicity,By ethnicity
9f32bf9b33bb81db9cfd31c51656555ce733714f,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),EBacc achievement by ethnicity and eligibility for free school meals (FSM),By ethnicity and eligibility for free school meals
0dc539af1742e2a7c08c10608599069f683c6d91,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),EBacc achievement by ethnicity and area,By ethnicity and area
9ccddd5613a5c1e217beadc7262e46bea055a426,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),EBacc achievement by ethnicity and gender,By ethnicity and gender
23728eeb064b30737655edabb725888b3d1e1ba4,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),"EBacc achievement by ethnicity, gender and eligibility for free school meals (FSM)","By ethnicity, gender and eligibility for free school meals"
143280aa9b889e88c2e9adcea9669d0a27ef580d,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4)," EBacc achievement by ethnicity, gender and area","By ethnicity, gender and area"
621b85f9f84fffdf9a169276bf57c77124e6c6bc,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),"EBacc achievement by ethnicity, gender and basis for school admission","By ethnicity, gender and type of selection"
f41045bcda1645c62162b50b75dcb60d56091563,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),EBacc achievement by ethnicity and type of school,By ethnicity and type of school
013fc5e2f25163f42eef81656368b00a8ccdade3,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),"EBacc achievement by ethnicity, gender and special education needs (SEN)","By ethnicity, gender and special education needs"
5c447ccffc5fbe08bfd55fe4e1b58ddea035d54c,English Baccalaureate (EBacc) achievement for children aged 14 to 16 (key stage 4),"EBacc achievement by ethnicity, gender and religion of school","By ethnicity, gender and religion of school"
0592f9176ec4f6c532a60d9e991b751973de19b2,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),EBacc entry by ethnicity,By ethnicity
7dab8178c34d2c412a8a366b41cf0cbcf236a327,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),EBacc entry by ethnicity and eligibility for free school meals (FSM),By ethnicity and eligibility for free school meals
2fbd3b1995800c1a834e9243849f9ea3c0e1917d,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),EBacc entry by ethnicity and area,By ethnicity and area
ac97f4ca4d7bae6b093800da1fb84a7a72d1e34d,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),EBacc entry by ethnicity and gender,By ethnicity and gender
7a2e5a0db103fcaf67e79c00981426c748fc4c99,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),"EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)","By ethnicity, gender and eligibility for free school meals"
43e9f69012fc45ea3831223d1d1b5f6f71a2896f,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4)," EBacc entry by ethnicity, gender and area","By ethnicity, gender and area"
b9dab0a9f61d62f069294f61e97e6c696353509d,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),"EBacc entry by ethnicity, gender and basis for school admission","By ethnicity, gender and type of selection"
415aa03de60514dd0c5dc0f438b0e86dc60d3f8f,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),EBacc entry by ethnicity and type of school,By ethnicity and type of school
50a4aaf415d7ef4b41ab3c6f3db8d7d6c9d78342,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),"EBacc entry by ethnicity, gender and special education needs (SEN)","By ethnicity, gender and special education needs"
232fd0e7a389ea2a8ae2603307c49677d7b6160c,English Baccalaureate (EBacc) entry for children aged 14 to 16 (key stage 4),"EBacc entry by ethnicity, gender and religion of school","By ethnicity, gender and religion of school"
322f0effd94132a6ad40d01b225885ee69c3473f,English language skills,English language skills by ethnicity,By ethnicity
48863ca03cdc3d9c08c34d168ddf0f2115cbb46c,English language skills,English language skills by ethnicity and sex,By ethnicity and sex
e11fca98df90428a7592de3bf0da376260399df6,English language skills,English language skills by ethnicity and region,By ethnicity and area
d9e68d00584a7498cf6874650e5cadd4f41713fc,English language skills,"English language skills by ethnicity, sex and age","By ethnicity, sex and age"
9ef1ebddd30c2ae6a8e584ab48cb791ca5f3124e,English language skills,Languages spoken other than English,Other languages spoken
3e3bfb8e7a5b19628a09a707dd091e5223a8c0d1,"Entrants at higher education providers with high, medium and low entry tariffs","Entrants to courses at ‘low’, ‘medium’ and ‘high’ tariff institutions, by ethnicity",By ethnicity
db0d87908b57779904ffc59e9f26b758c3c7fafc,"Entrants at higher education providers with high, medium and low entry tariffs","Ethnic groups of entrants, by tariff level of provider",By tariff level of provider
cd1b58bb17e4c0693ec40d348efbcd1f83eb1efe,Entry rates into higher education,Entry rates into higher education by ethnicity,By ethnicity
73a5f0969ea86e74302bf8c0e309e70836ae7ef5,Families and households,Household types by ethnicity,
1663e8b0cf37b56df54bd84da09fe9bb993c1191,Families and households,Ethnic groups by household type,
13a00dfe767a26eb5e862e7d1ede78037f2015fe,Families and households,Households with dependent children by ethnicity,
f1625cab8c6dd1d05bdc3714a1393ae4457c684f,Families and households,Asian ethnic group by household type,
46e7f0ec4931054caf32ef172b5df97746d8cde3,Families and households,Black ethnic group by household type,
a5940602787b17758cb1f28df74d599679055182,Families and households,Mixed ethnic group by household type,
a13d27d91c1c91300b6fe1b8d511f4bc20735b9e,Families and households,White ethnic group by household type,
3740739c7d300bfa06546e57c922dadb69255b65,Families and households,Other ethnic group by household type,
ca7eeb39bc8277526e2ac3d66f3c00ae5b2a9438,Fear of crime,Fear of crime by ethnicity over time,By ethnicity over time
95450282142e0e8a6e5ea8e328c22c926bf4a82d,Fear of crime,Fear of crime by ethnicity and gender,By ethnicity and gender
fdc84717ee3efd01af625d8ac9fee207d4c5cc56,Fear of crime,Fear of crime by ethnicity and age group,By ethnicity and age group
b50264464fb9beb0d0c7eb30a3ba18c95c111b91,Fear of crime,Fear of crime by ethnicity and socio-economic group,By ethnicity and socio-economic group
ed1f738d39680717e18220988e828daa30b3bffe,Feeling of belonging to Britain,"People feeling strongly they belong to Britain, by ethnicity",By ethnicity
dbc4430f32200ecb62bfb3ea9d93d236d8893081,Feeling of belonging to a neighbourhood,People feeling strongly they belong to their neighbourhood by ethnicity,By ethnicity
323cd0c6734277ef4266871f52421f9dd92602d7,Feeling of community integration,Feeling of community integration by ethnicity,By ethnicity
8fc84a209224f2849c34f58698f7c55c0b626d83,Financial help from family to buy a home,"Households getting financial help from family to buy their home, by ethnicity",By ethnicity
b6be60a59904f967ba99912a71b9c1ee44e020ec,Fire and rescue services workforce,Firefighters by ethnicity,By ethnicity (firefighters only)
b87d2ed3c4b32add4711120cf5b3057e3c7b9dc7,Fire and rescue services workforce,Firefighters by ethnicity over time,By ethnicity over time (firefighters only)
3640c625e5e16c0e51bcf3e8ab5b3ace18c64355,Fire and rescue services workforce,Fire and rescue service workforce by ethnicity and type of role,By ethnicity and type of role
2ba0c4eb4225589f9325673476c922b2f7ee0daa,Fire and rescue services workforce,Fire and rescue service workforce by ethnicity and type of role over time,By ethnicity and type of role over time
3c49c755e2852eb1661d56bf9dbfb26394c04c52,Fire and rescue services workforce,Fire and rescue service workforce by type of role within each ethnic group,By type of role within each ethnic group
0b71bbc9c89a65b475524b92d94f53e93ab9cd88,Fire and rescue services workforce,Firefighters by ethnicity and area,By ethnicity and area (firefighters only)
86e1d3e123d35b59f0c4314dab4dae2d62c0be7f,Fire and rescue services workforce,Firefighters by ethnicity and duty type,By ethnicity and duty type (firefighters only)
4ddcf0c881dc7d8d956ed98695fadce828a55f7a,First year entrants onto postgraduate degrees,First year entrants onto postgraduate degrees by ethnicity,By ethnicity
f8ff00237d7687f0ead34c4818ea1f3ca751e199,First year entrants onto undergraduate degrees,First year entrants onto undergraduate degrees by ethnicity,By ethnicity
5350c394f54809a11e3b53202aa145589ac33571,Fuel poverty,Households in fuel poverty by ethnicity over time,By ethnicity over time
903b084b148902c957cc230022bdafba4483f09c,Fuel poverty gap,Average fuel poverty gap by ethnicity over time,By ethnicity over time
6748b4750adb7851d7f5995a8fa41376190c7dab,Further education participation,Percentage of people in further education by ethnicity over time,By ethnicity over time
c0f45cbd9f96f29cbfffb596142aae14d4447395,Further education participation,"Further education participation by ethnicity, compared with the overall population by ethnicity",By ethnicity compared with the overall population
26a003217f1ec8f90bfce746277c62bb2db61b63,GCSE results (‘Attainment 8’) for children aged 14 to 16 (key stage 4),GCSE-level exam results (‘Attainment 8’) by ethnicity,By ethnicity
d591876c8e1c7fc132b84e58ee2ca7c8159941d3,GCSE results (‘Attainment 8’) for children aged 14 to 16 (key stage 4),GCSE-level exam results (‘Attainment 8’) by ethnicity and eligibility for free school meals (FSM),By ethnicity and eligibility for free school meals
8c5e4a47aadbd867881778d07e6bcc5d328f4681,GCSE results (‘Attainment 8’) for children aged 14 to 16 (key stage 4),GCSE-level exam results (‘Attainment 8’) by ethnicity and area,By ethnicity and area
961f0b8545e9d08033f7416001c1ecdd4032bc79,GCSE results (‘Attainment 8’) for children aged 14 to 16 (key stage 4),GCSE-level exam results (‘Attainment 8’) by ethnicity and gender,By ethnicity and gender
